Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Pray You Catch Me,3:15,7.5,7.5,8.584615384615384,Lemonade,Beyoncé
2,Hold Up,3:41,9.0,9.0,8.584615384615384,Lemonade,Beyoncé
3,Don't Hurt Yourself (feat. Jack White),3:53,7.0,7.0,8.584615384615384,Lemonade,Beyoncé
4,Sorry,3:52,10.0,10.0,8.584615384615384,Lemonade,Beyoncé
5,6 Inch (feat. The Weeknd),4:20,7.5,7.5,8.584615384615384,Lemonade,Beyoncé
6,Daddy Lessons,4:47,10.0,10.0,8.584615384615384,Lemonade,Beyoncé
7,Love Drought,3:57,8.0,8.0,8.584615384615384,Lemonade,Beyoncé
8,Sandcastles,3:02,8.5,8.5,8.584615384615384,Lemonade,Beyoncé
9,Forward (feat. James Blake),1:19,8.3,8.3,8.584615384615384,Lemonade,Beyoncé
10,Freedom (feat. Kendrick Lamar),4:49,9.0,9.0,8.584615384615384,Lemonade,Beyoncé
11,All Night,5:22,9.5,9.5,8.584615384615384,Lemonade,Beyoncé
12,Formation,3:26,9.0,9.0,8.584615384615384,Lemonade,Beyoncé
13,Sorry - Original Demo,3:24,8.3,8.3,8.584615384615384,Lemonade,Beyoncé
